review_id,order_id,customer_id,product_id,product_name,category,region,stars,sentiment,review_text,review_date
R00024,ORD001039,UC00573,P0037,Yoga-Matte Pro,Sport,Hessen,1,negativ,Farbe weicht stark vom Foto ab. Sehr enttäuschend.,2024-02-03
R00025,ORD001496,UC00818,P0009,Oxford Hemd Classic,Herrenmode,Hessen,4,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-03-27
R00026,ORD003916,UC02158,P0007,Off-Shoulder Top Ida,Damenmode,Baden-Württemberg,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2023-12-15
R00027,ORD005458,UC03012,P0026,Seidenschal Parisien,Accessoires,Hamburg,2,negativ,Qualität weit unter Erwartungen. Rückgabe beantragt.,2023-06-11
R00028,ORD009203,UC05139,P0001,Slim-Fit Bluse,Damenmode,Hamburg,3,neutral,Entspricht der Beschreibung. Nichts Besonderes.,2023-04-22
R00029,ORD012312,UC06869,P0019,Sandalen Riviera,Schuhe,Berlin,5,positiv,Schnelle Lieferung und schönes Produkt. Kaufe ich wieder.,2024-01-20
R00030,ORD011115,UC06208,P0022,Loafer Classic,Schuhe,Berlin,2,negativ,"Material kratzt, völlig unbequem. Nicht empfehlenswert.",2024-05-10
R00031,ORD006398,UC03558,P0037,Yoga-Matte Pro,Sport,NRW,3,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2023-11-21
R00032,ORD010479,UC05854,P0006,Cardigan Vera,Damenmode,Baden-Württemberg,5,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2023-06-29
R00033,ORD008476,UC04737,P0036,Tablett Bambus,Home & Living,Baden-Württemberg,2,negativ,Material dünn und billig wirkend.,2024-03-24
R00034,ORD006111,UC03391,P0036,Tablett Bambus,Home & Living,Baden-Württemberg,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2024-06-17
R00035,ORD001336,UC00738,P0037,Yoga-Matte Pro,Sport,Hamburg,1,negativ,Farbe weicht stark vom Foto ab. Sehr enttäuschend.,2023-08-30
R00036,ORD010771,UC06027,P0011,Kapuzenpulli Anton,Herrenmode,NRW,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-12-16
R00037,ORD012259,UC06839,P0022,Loafer Classic,Schuhe,NRW,1,negativ,"Schuhe fallen zu groß aus, muss eine Größe kleiner nehmen.",2024-04-29
R00038,ORD002341,UC01300,P0024,Ballerina Soft,Schuhe,Hessen,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2024-02-17
R00039,ORD008876,UC04960,P0009,Oxford Hemd Classic,Herrenmode,Hamburg,2,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2023-07-26
R00040,ORD006071,UC03372,P0024,Ballerina Soft,Schuhe,Niedersachsen,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2023-12-14
R00041,ORD002588,UC01427,P0038,Trinkflasche Steel 750ml,Sport,Sachsen,3,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2025-01-14
R00042,ORD012141,UC06772,P0040,Sporttasche Gym Plus,Sport,Brandenburg,4,positiv,Schnelle Lieferung und schönes Produkt. Kaufe ich wieder.,2023-06-21
R00043,ORD012921,UC07196,P0009,Oxford Hemd Classic,Herrenmode,NRW,4,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-07-01
R00044,ORD003557,UC01951,P0008,Midi-Rock Nora,Damenmode,Bayern,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2024-02-29
R00045,ORD013444,UC07480,P0032,Überwurfdecke Merino,Home & Living,NRW,3,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2023-06-21
R00046,ORD000169,UC00086,P0011,Kapuzenpulli Anton,Herrenmode,Bayern,4,neutral,"Produkt ist ok, aber Lieferung hat etwas gedauert.",2024-05-08
R00047,ORD010912,UC06093,P0019,Sandalen Riviera,Schuhe,Hessen,3,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2023-11-14
R00048,ORD008180,UC04565,P0005,Businesshose Selene,Damenmode,NRW,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2024-10-11
R00049,ORD007322,UC04081,P0009,Oxford Hemd Classic,Herrenmode,NRW,4,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-09-18
R00050,ORD005316,UC02924,P0019,Sandalen Riviera,Schuhe,Berlin,4,neutral,Ist in Ordnung. Mal sehen wie lange es hält.,2023-02-06
R00051,ORD014145,UC07880,P0032,Überwurfdecke Merino,Home & Living,NRW,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2023-05-26
R00052,ORD009753,UC05439,P0036,Tablett Bambus,Home & Living,Berlin,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-05-04
R00053,ORD003342,UC01831,P0003,High-Waist Jeans Luna,Damenmode,Baden-Württemberg,4,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2024-12-11
R00054,ORD001069,UC00588,P0004,Strickpullover Mila,Damenmode,Berlin,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-03-20
R00055,ORD004414,UC02425,P0038,Trinkflasche Steel 750ml,Sport,Baden-Württemberg,4,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2023-06-08
R00056,ORD005726,UC03188,P0023,Boots Heritage,Schuhe,Hessen,1,negativ,"Schuhe fallen zu groß aus, muss eine Größe kleiner nehmen.",2024-06-29
R00057,ORD012556,UC07006,P0027,Sonnenbrille Aviator,Accessoires,Bayern,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-06-28
R00058,ORD011113,UC06206,P0004,Strickpullover Mila,Damenmode,Hamburg,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2023-09-02
R00059,ORD002419,UC01343,P0015,Strickjacke Finn,Herrenmode,Sachsen,5,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2024-09-17
R00060,ORD013208,UC07355,P0033,Kerzenset Nordic,Home & Living,NRW,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2024-11-25
R00061,ORD003441,UC01887,P0013,Leinenhemd Matteo,Herrenmode,Baden-Württemberg,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2024-12-13
R00062,ORD007546,UC04194,P0028,Rucksack Campus,Accessoires,Baden-Württemberg,4,positiv,Bin begeistert! Genau das was ich gesucht habe.,2023-12-21
R00063,ORD010195,UC05698,P0037,Yoga-Matte Pro,Sport,Brandenburg,3,neutral,Entspricht der Beschreibung. Nichts Besonderes.,2024-10-18
R00064,ORD006766,UC03781,P0004,Strickpullover Mila,Damenmode,Bayern,2,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2023-07-28
R00065,ORD002564,UC01416,P0002,Maxi-Kleid Florencia,Damenmode,Bayern,4,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-08-23
R00066,ORD005424,UC02986,P0037,Yoga-Matte Pro,Sport,NRW,4,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2023-04-11
R00067,ORD004228,UC02326,P0006,Cardigan Vera,Damenmode,Baden-Württemberg,4,neutral,Entspricht der Beschreibung. Nichts Besonderes.,2024-07-22
R00068,ORD008207,UC04578,P0035,Bilderrahmen Set 3er,Home & Living,Bayern,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2024-05-14
R00069,ORD008794,UC04906,P0023,Boots Heritage,Schuhe,Berlin,5,positiv,Bin begeistert! Genau das was ich gesucht habe.,2023-08-11
R00070,ORD012282,UC06853,P0001,Slim-Fit Bluse,Damenmode,Baden-Württemberg,3,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2023-05-23
R00071,ORD012812,UC07139,P0006,Cardigan Vera,Damenmode,NRW,1,negativ,Material dünn und billig wirkend.,2024-09-07
R00072,ORD012435,UC06939,P0006,Cardigan Vera,Damenmode,Hamburg,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2023-09-08
R00073,ORD002743,UC01516,P0011,Kapuzenpulli Anton,Herrenmode,Thüringen,5,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2023-09-01
R00074,ORD011023,UC06157,P0022,Loafer Classic,Schuhe,Baden-Württemberg,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2024-07-12
R00075,ORD001835,UC01008,P0039,Laufjacke Wind,Sport,Bayern,3,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2023-07-24
R00076,ORD011825,UC06592,P0035,Bilderrahmen Set 3er,Home & Living,NRW,5,positiv,Bin begeistert! Genau das was ich gesucht habe.,2023-05-08
R00077,ORD013199,UC07347,P0011,Kapuzenpulli Anton,Herrenmode,Bayern,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-09-08
R00078,ORD007468,UC04155,P0022,Loafer Classic,Schuhe,NRW,2,negativ,"Material kratzt, völlig unbequem. Nicht empfehlenswert.",2024-05-31
R00079,ORD001160,UC00640,P0010,Chino Slim Pierre,Herrenmode,Bayern,5,positiv,Bin begeistert! Genau das was ich gesucht habe.,2023-10-07
R00080,ORD010730,UC06002,P0041,Widerstandsband Set,Sport,Berlin,4,neutral,Ist in Ordnung. Mal sehen wie lange es hält.,2024-01-21
R00081,ORD001776,UC00977,P0005,Businesshose Selene,Damenmode,NRW,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2023-06-08
R00082,ORD000520,UC00287,P0019,Sandalen Riviera,Schuhe,Hessen,2,negativ,"Schlechte Verarbeitung, Nähte gehen schon nach kurzer Zeit auf.",2024-10-07
R00083,ORD000644,UC00358,P0003,High-Waist Jeans Luna,Damenmode,NRW,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2023-02-05
R00084,ORD002066,UC01147,P0012,Poloshirt Leon,Herrenmode,Baden-Württemberg,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-05-07
R00085,ORD014196,UC07911,P0016,T-Shirt Basic Pack,Herrenmode,NRW,4,neutral,"Produkt ist ok, aber Lieferung hat etwas gedauert.",2023-12-14
R00086,ORD000659,UC00363,P0007,Off-Shoulder Top Ida,Damenmode,Hessen,1,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2024-01-16
R00087,ORD010712,UC05991,P0009,Oxford Hemd Classic,Herrenmode,Bayern,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-02-07
R00088,ORD012236,UC06828,P0001,Slim-Fit Bluse,Damenmode,Baden-Württemberg,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2023-06-07
R00089,ORD006860,UC03830,P0024,Ballerina Soft,Schuhe,Hessen,2,negativ,"Material kratzt, völlig unbequem. Nicht empfehlenswert.",2023-04-04
R00090,ORD013721,UC07638,P0018,Chelsea Boot Bruno,Schuhe,Niedersachsen,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-09-26
R00091,ORD001429,UC00785,P0001,Slim-Fit Bluse,Damenmode,Baden-Württemberg,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-05-19
R00092,ORD009797,UC05462,P0004,Strickpullover Mila,Damenmode,NRW,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-10-16
R00093,ORD000618,UC00344,P0028,Rucksack Campus,Accessoires,Berlin,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-10-22
R00094,ORD011156,UC06227,P0003,High-Waist Jeans Luna,Damenmode,NRW,5,positiv,Bin begeistert! Genau das was ich gesucht habe.,2023-11-11
R00095,ORD006739,UC03765,P0020,Pumps Elegante,Schuhe,Berlin,4,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2024-11-13
R00096,ORD005042,UC02768,P0039,Laufjacke Wind,Sport,Bayern,1,negativ,Nicht das was ich erwartet hatte. Werde nicht wieder kaufen.,2024-08-29
R00097,ORD001801,UC00991,P0013,Leinenhemd Matteo,Herrenmode,Baden-Württemberg,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-12-01
R00098,ORD000711,UC00388,P0008,Midi-Rock Nora,Damenmode,NRW,4,neutral,"Produkt ist ok, aber Lieferung hat etwas gedauert.",2024-06-28
R00099,ORD001022,UC00563,P0005,Businesshose Selene,Damenmode,Bayern,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2023-07-23
R00100,ORD011457,UC06389,P0015,Strickjacke Finn,Herrenmode,Bayern,1,negativ,Farbe weicht stark vom Foto ab. Sehr enttäuschend.,2023-12-04
R00101,ORD011035,UC06166,P0014,Cargo-Shorts Marc,Herrenmode,Berlin,1,negativ,Nicht das was ich erwartet hatte. Werde nicht wieder kaufen.,2023-02-22
R00102,ORD012876,UC07176,P0003,High-Waist Jeans Luna,Damenmode,NRW,3,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2024-07-17
R00103,ORD005012,UC02748,P0033,Kerzenset Nordic,Home & Living,NRW,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2024-03-09
R00104,ORD007941,UC04420,P0008,Midi-Rock Nora,Damenmode,Baden-Württemberg,5,positiv,Schnelle Lieferung und schönes Produkt. Kaufe ich wieder.,2023-12-14
R00105,ORD002597,UC01430,P0020,Pumps Elegante,Schuhe,Berlin,2,negativ,"Schlechte Verarbeitung, Nähte gehen schon nach kurzer Zeit auf.",2024-08-19
R00106,ORD009226,UC05153,P0008,Midi-Rock Nora,Damenmode,NRW,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-09-02
R00107,ORD013408,UC07467,P0016,T-Shirt Basic Pack,Herrenmode,Bayern,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2024-06-25
R00108,ORD001186,UC00654,P0001,Slim-Fit Bluse,Damenmode,NRW,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-07-11
R00109,ORD001584,UC00863,P0029,Portemonnaie Slim,Accessoires,Thüringen,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2023-12-18
R00110,ORD012471,UC06955,P0024,Ballerina Soft,Schuhe,Baden-Württemberg,3,neutral,Entspricht der Beschreibung. Nichts Besonderes.,2023-08-07
R00111,ORD010782,UC06031,P0014,Cargo-Shorts Marc,Herrenmode,Hamburg,4,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2024-11-30
R00112,ORD006046,UC03355,P0004,Strickpullover Mila,Damenmode,Berlin,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-06-10
R00113,ORD000456,UC00249,P0040,Sporttasche Gym Plus,Sport,Brandenburg,3,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2024-08-28
R00114,ORD004101,UC02263,P0009,Oxford Hemd Classic,Herrenmode,Thüringen,3,neutral,Entspricht der Beschreibung. Nichts Besonderes.,2023-01-10
R00115,ORD012149,UC06778,P0004,Strickpullover Mila,Damenmode,Baden-Württemberg,5,positiv,Schnelle Lieferung und schönes Produkt. Kaufe ich wieder.,2023-03-28
R00116,ORD008229,UC04591,P0014,Cargo-Shorts Marc,Herrenmode,Niedersachsen,3,neutral,"Produkt ist ok, aber Lieferung hat etwas gedauert.",2024-11-16
R00117,ORD002257,UC01258,P0009,Oxford Hemd Classic,Herrenmode,NRW,4,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2023-06-18
R00118,ORD010208,UC05706,P0001,Slim-Fit Bluse,Damenmode,Bayern,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2023-10-03
R00119,ORD013826,UC07705,P0028,Rucksack Campus,Accessoires,Baden-Württemberg,2,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2023-06-08
R00120,ORD006156,UC03417,P0005,Businesshose Selene,Damenmode,Bayern,4,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2024-05-01
R00121,ORD000121,UC00062,P0024,Ballerina Soft,Schuhe,Baden-Württemberg,2,negativ,"Schuhe fallen zu groß aus, muss eine Größe kleiner nehmen.",2023-09-23
R00122,ORD007249,UC04042,P0031,Kissen Lino 50x50,Home & Living,Niedersachsen,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2023-01-18
R00123,ORD011693,UC06521,P0008,Midi-Rock Nora,Damenmode,Brandenburg,3,neutral,"Nicht begeistert, aber auch nicht enttäuscht.",2024-11-14
R00124,ORD006966,UC03885,P0008,Midi-Rock Nora,Damenmode,Bayern,4,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2023-11-09
R00125,ORD004490,UC02463,P0011,Kapuzenpulli Anton,Herrenmode,Baden-Württemberg,5,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2024-07-02
R00126,ORD012108,UC06758,P0009,Oxford Hemd Classic,Herrenmode,Bayern,4,neutral,"Nicht begeistert, aber auch nicht enttäuscht.",2023-11-26
R00127,ORD012422,UC06929,P0031,Kissen Lino 50x50,Home & Living,Hamburg,1,negativ,Farbe weicht stark vom Foto ab. Sehr enttäuschend.,2023-12-24
R00128,ORD007103,UC03957,P0005,Businesshose Selene,Damenmode,Niedersachsen,4,neutral,Ist in Ordnung. Mal sehen wie lange es hält.,2023-08-05
R00129,ORD002841,UC01569,P0025,Lederriemen Cognac,Accessoires,Hessen,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2024-11-03
R00130,ORD004575,UC02507,P0006,Cardigan Vera,Damenmode,Sachsen,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-03-28
R00131,ORD000813,UC00449,P0014,Cargo-Shorts Marc,Herrenmode,Hamburg,3,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2023-06-22
R00132,ORD014262,UC07949,P0011,Kapuzenpulli Anton,Herrenmode,Bayern,4,neutral,Ist in Ordnung. Mal sehen wie lange es hält.,2023-04-22
R00133,ORD010470,UC05850,P0003,High-Waist Jeans Luna,Damenmode,Hessen,2,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2023-03-10
R00134,ORD001287,UC00712,P0006,Cardigan Vera,Damenmode,Niedersachsen,2,negativ,Qualität weit unter Erwartungen. Rückgabe beantragt.,2023-09-07
R00135,ORD005702,UC03171,P0011,Kapuzenpulli Anton,Herrenmode,Berlin,5,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2025-01-05
R00136,ORD004854,UC02662,P0032,Überwurfdecke Merino,Home & Living,Hessen,2,negativ,Qualität weit unter Erwartungen. Rückgabe beantragt.,2023-07-18
R00137,ORD011709,UC06529,P0004,Strickpullover Mila,Damenmode,Bayern,4,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2023-07-09
R00138,ORD011405,UC06366,P0014,Cargo-Shorts Marc,Herrenmode,Hamburg,4,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2023-06-26
R00139,ORD003630,UC01990,P0011,Kapuzenpulli Anton,Herrenmode,Baden-Württemberg,4,positiv,Schnelle Lieferung und schönes Produkt. Kaufe ich wieder.,2024-07-16
R00140,ORD008490,UC04745,P0022,Loafer Classic,Schuhe,Baden-Württemberg,2,negativ,"Material kratzt, völlig unbequem. Nicht empfehlenswert.",2024-12-11
R00141,ORD014141,UC07877,P0014,Cargo-Shorts Marc,Herrenmode,Hessen,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-02-29
R00142,ORD010979,UC06134,P0021,Laufschuh Sprint X,Schuhe,Berlin,5,positiv,Schnelle Lieferung und schönes Produkt. Kaufe ich wieder.,2023-11-28
R00143,ORD001316,UC00726,P0006,Cardigan Vera,Damenmode,Berlin,3,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2023-06-27
R00144,ORD008553,UC04779,P0003,High-Waist Jeans Luna,Damenmode,Bayern,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2023-03-01
R00145,ORD009478,UC05292,P0021,Laufschuh Sprint X,Schuhe,Baden-Württemberg,4,positiv,Bin begeistert! Genau das was ich gesucht habe.,2024-02-19
R00146,ORD002397,UC01328,P0030,Mütze Alpaka,Accessoires,Berlin,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2024-02-07
R00147,ORD013567,UC07551,P0003,High-Waist Jeans Luna,Damenmode,Hamburg,4,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2024-09-29
R00148,ORD007104,UC03957,P0002,Maxi-Kleid Florencia,Damenmode,Niedersachsen,1,negativ,Farbe weicht stark vom Foto ab. Sehr enttäuschend.,2024-06-03
R00149,ORD012676,UC07065,P0028,Rucksack Campus,Accessoires,Niedersachsen,5,positiv,Bin begeistert! Genau das was ich gesucht habe.,2023-07-13
R00150,ORD005852,UC03261,P0023,Boots Heritage,Schuhe,Hessen,5,positiv,"Qualität top, Größe passt perfekt. Sehr empfehlenswert.",2024-12-26
R00151,ORD007954,UC04429,P0030,Mütze Alpaka,Accessoires,Berlin,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-09-25
R00152,ORD004144,UC02285,P0007,Off-Shoulder Top Ida,Damenmode,Bayern,4,neutral,"Nicht begeistert, aber auch nicht enttäuscht.",2023-04-02
R00153,ORD005705,UC03174,P0011,Kapuzenpulli Anton,Herrenmode,NRW,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2024-11-25
R00154,ORD004297,UC02366,P0039,Laufjacke Wind,Sport,Sachsen,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-10-13
R00155,ORD007956,UC04430,P0028,Rucksack Campus,Accessoires,Niedersachsen,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2024-12-30
R00156,ORD012273,UC06849,P0029,Portemonnaie Slim,Accessoires,Berlin,5,positiv,Schnelle Lieferung und schönes Produkt. Kaufe ich wieder.,2023-09-15
R00157,ORD007458,UC04149,P0015,Strickjacke Finn,Herrenmode,Berlin,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-05-06
R00158,ORD008017,UC04468,P0011,Kapuzenpulli Anton,Herrenmode,Hamburg,4,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-03-28
R00159,ORD001124,UC00622,P0028,Rucksack Campus,Accessoires,Bayern,5,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2024-08-10
R00160,ORD000559,UC00312,P0034,Vase Keramik Rund,Home & Living,Berlin,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2024-06-27
R00161,ORD002941,UC01621,P0024,Ballerina Soft,Schuhe,NRW,1,negativ,"Schuhe fallen zu groß aus, muss eine Größe kleiner nehmen.",2024-04-18
R00162,ORD000739,UC00405,P0017,Sneaker Urban Run,Schuhe,Bayern,5,positiv,"Fantastisches Produkt, werde es meinen Freunden empfehlen.",2023-05-01
R00163,ORD011662,UC06502,P0014,Cargo-Shorts Marc,Herrenmode,Thüringen,2,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2024-12-28
R00164,ORD009779,UC05448,P0037,Yoga-Matte Pro,Sport,NRW,2,negativ,Qualität weit unter Erwartungen. Rückgabe beantragt.,2024-11-02
R00165,ORD005691,UC03167,P0002,Maxi-Kleid Florencia,Damenmode,Niedersachsen,3,neutral,Ist in Ordnung. Mal sehen wie lange es hält.,2023-04-12
R00166,ORD000829,UC00458,P0013,Leinenhemd Matteo,Herrenmode,Sachsen,3,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2023-05-01
R00167,ORD004002,UC02206,P0036,Tablett Bambus,Home & Living,NRW,3,neutral,"Preis könnte etwas günstiger sein, sonst passt alles.",2024-01-22
