order_id,product_id,product_name,category,quantity,unit_price,total_price
ORD000026,P0001,Slim-Fit Bluse,Damenmode,3,60.64,181.92
ORD000027,P0004,Strickpullover Mila,Damenmode,3,106.25,318.75
ORD000028,P0014,Cargo-Shorts Marc,Herrenmode,1,202.22,202.22
ORD000028,P0022,Loafer Classic,Schuhe,2,134.2,268.4
ORD000028,P0012,Poloshirt Leon,Herrenmode,1,193.03,193.03
ORD000029,P0015,Strickjacke Finn,Herrenmode,2,29.46,58.92
ORD000029,P0012,Poloshirt Leon,Herrenmode,3,176.81,530.43
ORD000030,P0007,Off-Shoulder Top Ida,Damenmode,1,50.98,50.98
ORD000030,P0005,Businesshose Selene,Damenmode,1,39.86,39.86
ORD000031,P0008,Midi-Rock Nora,Damenmode,1,154.07,154.07
ORD000031,P0006,Cardigan Vera,Damenmode,2,44.58,89.16
ORD000031,P0013,Leinenhemd Matteo,Herrenmode,1,158.29,158.29
ORD000032,P0009,Oxford Hemd Classic,Herrenmode,1,79.8,79.8
ORD000033,P0038,Trinkflasche Steel 750ml,Sport,1,31.38,31.38
ORD000034,P0013,Leinenhemd Matteo,Herrenmode,1,162.72,162.72
ORD000034,P0002,Maxi-Kleid Florencia,Damenmode,1,102.8,102.8
ORD000035,P0005,Businesshose Selene,Damenmode,1,38.87,38.87
ORD000035,P0031,Kissen Lino 50x50,Home & Living,1,26.85,26.85
ORD000036,P0027,Sonnenbrille Aviator,Accessoires,1,51.07,51.07
ORD000037,P0005,Businesshose Selene,Damenmode,1,41.58,41.58
ORD000037,P0015,Strickjacke Finn,Herrenmode,1,30.04,30.04
ORD000037,P0005,Businesshose Selene,Damenmode,2,45.17,90.34
ORD000037,P0035,Bilderrahmen Set 3er,Home & Living,3,152.59,457.77
ORD000038,P0004,Strickpullover Mila,Damenmode,1,93.18,93.18
ORD000039,P0009,Oxford Hemd Classic,Herrenmode,1,79.17,79.17
ORD000039,P0012,Poloshirt Leon,Herrenmode,1,175.23,175.23
ORD000040,P0017,Sneaker Urban Run,Schuhe,1,165.25,165.25
ORD000040,P0002,Maxi-Kleid Florencia,Damenmode,1,98.09,98.09
ORD000040,P0004,Strickpullover Mila,Damenmode,1,100.31,100.31
ORD000040,P0041,Widerstandsband Set,Sport,1,195.8,195.8
ORD000041,P0028,Rucksack Campus,Accessoires,2,59.33,118.66
ORD000041,P0005,Businesshose Selene,Damenmode,1,41.78,41.78
ORD000041,P0014,Cargo-Shorts Marc,Herrenmode,1,175.95,175.95
ORD000042,P0027,Sonnenbrille Aviator,Accessoires,1,59.19,59.19
ORD000042,P0003,High-Waist Jeans Luna,Damenmode,3,119.32,357.96
ORD000043,P0008,Midi-Rock Nora,Damenmode,1,133.62,133.62
ORD000044,P0003,High-Waist Jeans Luna,Damenmode,1,121.92,121.92
ORD000044,P0007,Off-Shoulder Top Ida,Damenmode,1,52.59,52.59
ORD000044,P0001,Slim-Fit Bluse,Damenmode,1,70.93,70.93
ORD000044,P0033,Kerzenset Nordic,Home & Living,2,293.3,586.6
ORD000045,P0024,Ballerina Soft,Schuhe,1,208.94,208.94
ORD000045,P0023,Boots Heritage,Schuhe,1,141.3,141.3
ORD000045,P0006,Cardigan Vera,Damenmode,3,46.3,138.9
ORD000045,P0015,Strickjacke Finn,Herrenmode,1,29.8,29.8
ORD000046,P0026,Seidenschal Parisien,Accessoires,1,55.47,55.47
ORD000046,P0022,Loafer Classic,Schuhe,1,141.92,141.92
ORD000047,P0023,Boots Heritage,Schuhe,1,175.2,175.2
ORD000048,P0002,Maxi-Kleid Florencia,Damenmode,2,103.68,207.36
ORD000049,P0004,Strickpullover Mila,Damenmode,1,69.9,69.9
ORD000049,P0035,Bilderrahmen Set 3er,Home & Living,1,122.49,122.49
ORD000049,P0008,Midi-Rock Nora,Damenmode,1,157.89,157.89
ORD000049,P0037,Yoga-Matte Pro,Sport,3,234.3,702.9
ORD000050,P0033,Kerzenset Nordic,Home & Living,1,307.42,307.42
ORD000050,P0019,Sandalen Riviera,Schuhe,1,166.66,166.66
ORD000051,P0005,Businesshose Selene,Damenmode,1,39.17,39.17
ORD000051,P0018,Chelsea Boot Bruno,Schuhe,2,121.52,243.04
ORD000052,P0039,Laufjacke Wind,Sport,1,145.12,145.12
ORD000053,P0015,Strickjacke Finn,Herrenmode,1,32.31,32.31
ORD000054,P0008,Midi-Rock Nora,Damenmode,1,163.65,163.65
ORD000054,P0006,Cardigan Vera,Damenmode,3,46.43,139.29
ORD000055,P0002,Maxi-Kleid Florencia,Damenmode,1,105.33,105.33
ORD000055,P0034,Vase Keramik Rund,Home & Living,1,116.05,116.05
ORD000056,P0022,Loafer Classic,Schuhe,1,124.79,124.79
ORD000056,P0001,Slim-Fit Bluse,Damenmode,1,79.74,79.74
ORD000056,P0004,Strickpullover Mila,Damenmode,1,102.08,102.08
ORD000057,P0009,Oxford Hemd Classic,Herrenmode,1,71.1,71.1
ORD000058,P0014,Cargo-Shorts Marc,Herrenmode,1,197.63,197.63
ORD000059,P0006,Cardigan Vera,Damenmode,1,45.48,45.48
ORD000059,P0024,Ballerina Soft,Schuhe,2,236.8,473.6
ORD000059,P0015,Strickjacke Finn,Herrenmode,2,24.08,48.16
ORD000060,P0008,Midi-Rock Nora,Damenmode,1,140.08,140.08
ORD000060,P0012,Poloshirt Leon,Herrenmode,3,185.06,555.18
ORD000061,P0019,Sandalen Riviera,Schuhe,1,178.9,178.9
ORD000061,P0035,Bilderrahmen Set 3er,Home & Living,1,142.13,142.13
ORD000062,P0005,Businesshose Selene,Damenmode,2,43.51,87.02
ORD000063,P0032,Überwurfdecke Merino,Home & Living,1,302.62,302.62
ORD000063,P0013,Leinenhemd Matteo,Herrenmode,1,174.84,174.84
ORD000064,P0040,Sporttasche Gym Plus,Sport,1,25.5,25.5
ORD000065,P0009,Oxford Hemd Classic,Herrenmode,1,84.85,84.85
ORD000065,P0025,Lederriemen Cognac,Accessoires,1,55.27,55.27
ORD000066,P0002,Maxi-Kleid Florencia,Damenmode,1,98.81,98.81
ORD000067,P0006,Cardigan Vera,Damenmode,1,36.46,36.46
ORD000068,P0039,Laufjacke Wind,Sport,1,197.42,197.42
ORD000068,P0021,Laufschuh Sprint X,Schuhe,1,85.79,85.79
ORD000068,P0021,Laufschuh Sprint X,Schuhe,1,85.97,85.97
ORD000069,P0021,Laufschuh Sprint X,Schuhe,2,85.1,170.2
ORD000069,P0017,Sneaker Urban Run,Schuhe,1,167.36,167.36
ORD000069,P0003,High-Waist Jeans Luna,Damenmode,1,92.69,92.69
ORD000070,P0020,Pumps Elegante,Schuhe,3,188.48,565.44
ORD000071,P0007,Off-Shoulder Top Ida,Damenmode,1,54.22,54.22
ORD000071,P0020,Pumps Elegante,Schuhe,1,229.59,229.59
ORD000071,P0018,Chelsea Boot Bruno,Schuhe,1,121.47,121.47
ORD000072,P0040,Sporttasche Gym Plus,Sport,2,21.97,43.94
ORD000072,P0028,Rucksack Campus,Accessoires,1,53.88,53.88
ORD000072,P0013,Leinenhemd Matteo,Herrenmode,1,204.47,204.47
ORD000072,P0022,Loafer Classic,Schuhe,1,140.33,140.33
ORD000073,P0005,Businesshose Selene,Damenmode,3,39.36,118.08
ORD000074,P0020,Pumps Elegante,Schuhe,1,208.4,208.4
ORD000075,P0025,Lederriemen Cognac,Accessoires,1,61.01,61.01
ORD000075,P0003,High-Waist Jeans Luna,Damenmode,1,123.18,123.18
ORD000075,P0005,Businesshose Selene,Damenmode,1,38.69,38.69
ORD000075,P0015,Strickjacke Finn,Herrenmode,1,31.17,31.17
ORD000075,P0006,Cardigan Vera,Damenmode,1,45.8,45.8
ORD000076,P0030,Mütze Alpaka,Accessoires,1,73.81,73.81
ORD000076,P0021,Laufschuh Sprint X,Schuhe,1,74.89,74.89
ORD000076,P0002,Maxi-Kleid Florencia,Damenmode,2,104.19,208.38
ORD000076,P0037,Yoga-Matte Pro,Sport,3,249.68,749.04
ORD000076,P0028,Rucksack Campus,Accessoires,1,43.68,43.68
ORD000077,P0033,Kerzenset Nordic,Home & Living,3,258.79,776.37
ORD000078,P0026,Seidenschal Parisien,Accessoires,1,53.73,53.73
ORD000079,P0009,Oxford Hemd Classic,Herrenmode,1,90.01,90.01
ORD000079,P0013,Leinenhemd Matteo,Herrenmode,1,204.97,204.97
ORD000079,P0012,Poloshirt Leon,Herrenmode,2,199.08,398.16
ORD000079,P0038,Trinkflasche Steel 750ml,Sport,1,40.88,40.88
ORD000080,P0016,T-Shirt Basic Pack,Herrenmode,1,20.91,20.91
ORD000080,P0009,Oxford Hemd Classic,Herrenmode,1,87.95,87.95
ORD000080,P0013,Leinenhemd Matteo,Herrenmode,2,176.32,352.64
ORD000080,P0022,Loafer Classic,Schuhe,1,142.53,142.53
ORD000081,P0022,Loafer Classic,Schuhe,1,119.01,119.01
ORD000082,P0026,Seidenschal Parisien,Accessoires,1,53.0,53.0
ORD000083,P0019,Sandalen Riviera,Schuhe,1,165.49,165.49
ORD000084,P0011,Kapuzenpulli Anton,Herrenmode,2,126.32,252.64
ORD000084,P0027,Sonnenbrille Aviator,Accessoires,1,59.8,59.8
ORD000085,P0012,Poloshirt Leon,Herrenmode,2,191.89,383.78
ORD000086,P0018,Chelsea Boot Bruno,Schuhe,1,114.94,114.94
ORD000086,P0036,Tablett Bambus,Home & Living,1,253.89,253.89
ORD000087,P0002,Maxi-Kleid Florencia,Damenmode,1,95.14,95.14
ORD000087,P0002,Maxi-Kleid Florencia,Damenmode,1,94.88,94.88
ORD000088,P0033,Kerzenset Nordic,Home & Living,1,296.4,296.4
ORD000089,P0009,Oxford Hemd Classic,Herrenmode,2,84.35,168.7
ORD000089,P0026,Seidenschal Parisien,Accessoires,1,59.52,59.52
ORD000090,P0013,Leinenhemd Matteo,Herrenmode,2,203.55,407.1
ORD000091,P0001,Slim-Fit Bluse,Damenmode,2,72.75,145.5
ORD000091,P0035,Bilderrahmen Set 3er,Home & Living,1,135.66,135.66
ORD000092,P0036,Tablett Bambus,Home & Living,1,323.86,323.86
ORD000093,P0023,Boots Heritage,Schuhe,2,178.97,357.94
ORD000093,P0014,Cargo-Shorts Marc,Herrenmode,1,177.79,177.79
ORD000093,P0007,Off-Shoulder Top Ida,Damenmode,1,53.88,53.88
ORD000094,P0035,Bilderrahmen Set 3er,Home & Living,1,152.84,152.84
ORD000094,P0024,Ballerina Soft,Schuhe,1,218.05,218.05
ORD000095,P0040,Sporttasche Gym Plus,Sport,1,23.46,23.46
ORD000096,P0013,Leinenhemd Matteo,Herrenmode,1,176.94,176.94
ORD000097,P0030,Mütze Alpaka,Accessoires,2,58.79,117.58
ORD000098,P0003,High-Waist Jeans Luna,Damenmode,1,116.35,116.35
ORD000099,P0013,Leinenhemd Matteo,Herrenmode,1,198.17,198.17
ORD000100,P0010,Chino Slim Pierre,Herrenmode,2,169.51,339.02
ORD000101,P0010,Chino Slim Pierre,Herrenmode,1,175.64,175.64
ORD000101,P0012,Poloshirt Leon,Herrenmode,1,179.05,179.05
ORD000102,P0021,Laufschuh Sprint X,Schuhe,1,74.04,74.04
ORD000102,P0009,Oxford Hemd Classic,Herrenmode,1,57.33,57.33
ORD000103,P0033,Kerzenset Nordic,Home & Living,1,288.3,288.3
ORD000103,P0035,Bilderrahmen Set 3er,Home & Living,1,154.2,154.2
ORD000103,P0013,Leinenhemd Matteo,Herrenmode,1,198.34,198.34
ORD000103,P0019,Sandalen Riviera,Schuhe,1,155.42,155.42
ORD000103,P0008,Midi-Rock Nora,Damenmode,1,173.35,173.35
ORD000104,P0040,Sporttasche Gym Plus,Sport,1,25.75,25.75
ORD000104,P0014,Cargo-Shorts Marc,Herrenmode,1,189.67,189.67
ORD000105,P0015,Strickjacke Finn,Herrenmode,1,27.95,27.95
ORD000105,P0001,Slim-Fit Bluse,Damenmode,1,81.64,81.64
ORD000106,P0037,Yoga-Matte Pro,Sport,2,257.07,514.14
ORD000106,P0002,Maxi-Kleid Florencia,Damenmode,1,98.14,98.14
ORD000106,P0040,Sporttasche Gym Plus,Sport,2,22.22,44.44
ORD000106,P0008,Midi-Rock Nora,Damenmode,1,144.46,144.46
ORD000106,P0032,Überwurfdecke Merino,Home & Living,1,328.4,328.4
ORD000107,P0001,Slim-Fit Bluse,Damenmode,1,80.78,80.78
ORD000108,P0038,Trinkflasche Steel 750ml,Sport,3,41.69,125.07
ORD000108,P0039,Laufjacke Wind,Sport,2,206.0,412.0
ORD000108,P0010,Chino Slim Pierre,Herrenmode,1,198.05,198.05
ORD000108,P0021,Laufschuh Sprint X,Schuhe,1,74.59,74.59
ORD000108,P0026,Seidenschal Parisien,Accessoires,1,45.52,45.52
ORD000109,P0024,Ballerina Soft,Schuhe,1,233.02,233.02
ORD000110,P0016,T-Shirt Basic Pack,Herrenmode,1,31.07,31.07
ORD000110,P0037,Yoga-Matte Pro,Sport,2,224.31,448.62
ORD000110,P0015,Strickjacke Finn,Herrenmode,3,25.22,75.66
ORD000110,P0003,High-Waist Jeans Luna,Damenmode,1,107.0,107.0
ORD000110,P0022,Loafer Classic,Schuhe,1,122.83,122.83
ORD000111,P0009,Oxford Hemd Classic,Herrenmode,2,85.94,171.88
ORD000112,P0004,Strickpullover Mila,Damenmode,1,96.52,96.52
ORD000113,P0016,T-Shirt Basic Pack,Herrenmode,3,25.96,77.88
ORD000114,P0018,Chelsea Boot Bruno,Schuhe,1,111.71,111.71
ORD000115,P0017,Sneaker Urban Run,Schuhe,2,164.75,329.5
ORD000115,P0003,High-Waist Jeans Luna,Damenmode,1,76.68,76.68
ORD000116,P0003,High-Waist Jeans Luna,Damenmode,1,120.75,120.75
ORD000116,P0013,Leinenhemd Matteo,Herrenmode,1,148.95,148.95
ORD000116,P0014,Cargo-Shorts Marc,Herrenmode,2,158.64,317.28
ORD000116,P0005,Businesshose Selene,Damenmode,1,45.19,45.19
ORD000117,P0008,Midi-Rock Nora,Damenmode,1,163.5,163.5
ORD000117,P0021,Laufschuh Sprint X,Schuhe,2,86.91,173.82
ORD000117,P0003,High-Waist Jeans Luna,Damenmode,1,118.9,118.9
ORD000118,P0012,Poloshirt Leon,Herrenmode,1,194.27,194.27
ORD000118,P0023,Boots Heritage,Schuhe,1,189.84,189.84
ORD000119,P0006,Cardigan Vera,Damenmode,1,42.84,42.84
ORD000120,P0011,Kapuzenpulli Anton,Herrenmode,1,101.66,101.66
ORD000120,P0008,Midi-Rock Nora,Damenmode,1,172.04,172.04
ORD000120,P0009,Oxford Hemd Classic,Herrenmode,1,86.62,86.62
ORD000120,P0027,Sonnenbrille Aviator,Accessoires,2,67.74,135.48
ORD000121,P0024,Ballerina Soft,Schuhe,1,231.9,231.9
ORD000122,P0027,Sonnenbrille Aviator,Accessoires,1,59.71,59.71
ORD000122,P0035,Bilderrahmen Set 3er,Home & Living,1,150.83,150.83
ORD000123,P0002,Maxi-Kleid Florencia,Damenmode,1,89.99,89.99
ORD000123,P0041,Widerstandsband Set,Sport,1,197.44,197.44
ORD000123,P0010,Chino Slim Pierre,Herrenmode,2,197.51,395.02
ORD000124,P0019,Sandalen Riviera,Schuhe,1,167.41,167.41
ORD000124,P0001,Slim-Fit Bluse,Damenmode,2,78.29,156.58
ORD000125,P0024,Ballerina Soft,Schuhe,1,219.57,219.57
ORD000125,P0004,Strickpullover Mila,Damenmode,1,93.24,93.24
ORD000125,P0005,Businesshose Selene,Damenmode,2,40.32,80.64
ORD000126,P0008,Midi-Rock Nora,Damenmode,1,176.77,176.77
ORD000126,P0026,Seidenschal Parisien,Accessoires,1,60.11,60.11
ORD000127,P0001,Slim-Fit Bluse,Damenmode,2,81.22,162.44
ORD000128,P0012,Poloshirt Leon,Herrenmode,1,161.45,161.45
ORD000129,P0007,Off-Shoulder Top Ida,Damenmode,1,54.46,54.46
ORD000130,P0023,Boots Heritage,Schuhe,1,197.01,197.01
ORD000131,P0001,Slim-Fit Bluse,Damenmode,2,69.96,139.92
ORD000131,P0026,Seidenschal Parisien,Accessoires,2,54.4,108.8
ORD000132,P0002,Maxi-Kleid Florencia,Damenmode,2,105.4,210.8
ORD000132,P0029,Portemonnaie Slim,Accessoires,1,55.27,55.27
ORD000132,P0007,Off-Shoulder Top Ida,Damenmode,2,50.21,100.42
ORD000133,P0007,Off-Shoulder Top Ida,Damenmode,1,34.99,34.99
ORD000134,P0018,Chelsea Boot Bruno,Schuhe,1,96.89,96.89
ORD000135,P0027,Sonnenbrille Aviator,Accessoires,1,59.2,59.2
ORD000136,P0012,Poloshirt Leon,Herrenmode,1,189.09,189.09
ORD000137,P0012,Poloshirt Leon,Herrenmode,1,140.59,140.59
ORD000138,P0007,Off-Shoulder Top Ida,Damenmode,1,47.71,47.71
ORD000138,P0023,Boots Heritage,Schuhe,3,178.93,536.79
ORD000138,P0001,Slim-Fit Bluse,Damenmode,1,61.16,61.16
ORD000139,P0013,Leinenhemd Matteo,Herrenmode,2,185.66,371.32
ORD000139,P0038,Trinkflasche Steel 750ml,Sport,1,44.41,44.41
ORD000140,P0034,Vase Keramik Rund,Home & Living,2,105.29,210.58
ORD000141,P0021,Laufschuh Sprint X,Schuhe,1,85.03,85.03
ORD000141,P0027,Sonnenbrille Aviator,Accessoires,3,64.47,193.41
ORD000141,P0009,Oxford Hemd Classic,Herrenmode,1,89.94,89.94
ORD000142,P0012,Poloshirt Leon,Herrenmode,1,192.12,192.12
ORD000142,P0004,Strickpullover Mila,Damenmode,1,105.94,105.94
ORD000143,P0027,Sonnenbrille Aviator,Accessoires,2,64.27,128.54
ORD000143,P0032,Überwurfdecke Merino,Home & Living,1,349.88,349.88
ORD000143,P0035,Bilderrahmen Set 3er,Home & Living,1,133.34,133.34
ORD000143,P0023,Boots Heritage,Schuhe,1,188.69,188.69
ORD000143,P0024,Ballerina Soft,Schuhe,3,221.4,664.2
ORD000144,P0032,Überwurfdecke Merino,Home & Living,1,308.35,308.35
ORD000144,P0018,Chelsea Boot Bruno,Schuhe,1,117.34,117.34
ORD000145,P0014,Cargo-Shorts Marc,Herrenmode,2,199.78,399.56
ORD000145,P0026,Seidenschal Parisien,Accessoires,1,50.57,50.57
ORD000145,P0018,Chelsea Boot Bruno,Schuhe,1,121.12,121.12
ORD000145,P0001,Slim-Fit Bluse,Damenmode,1,74.72,74.72
ORD000146,P0012,Poloshirt Leon,Herrenmode,1,201.54,201.54
ORD000146,P0012,Poloshirt Leon,Herrenmode,3,202.79,608.37
ORD000147,P0005,Businesshose Selene,Damenmode,1,39.93,39.93
ORD000147,P0021,Laufschuh Sprint X,Schuhe,2,85.41,170.82
ORD000147,P0004,Strickpullover Mila,Damenmode,2,101.99,203.98
ORD000147,P0008,Midi-Rock Nora,Damenmode,1,170.17,170.17
ORD000147,P0027,Sonnenbrille Aviator,Accessoires,2,66.49,132.98
ORD000148,P0008,Midi-Rock Nora,Damenmode,2,153.95,307.9
ORD000148,P0028,Rucksack Campus,Accessoires,2,56.23,112.46
ORD000149,P0002,Maxi-Kleid Florencia,Damenmode,1,91.85,91.85
ORD000149,P0018,Chelsea Boot Bruno,Schuhe,1,124.98,124.98
ORD000150,P0015,Strickjacke Finn,Herrenmode,1,28.55,28.55
ORD000150,P0020,Pumps Elegante,Schuhe,1,207.39,207.39
ORD000150,P0037,Yoga-Matte Pro,Sport,1,249.39,249.39
ORD000151,P0012,Poloshirt Leon,Herrenmode,1,201.14,201.14
ORD000151,P0003,High-Waist Jeans Luna,Damenmode,2,106.9,213.8
ORD000151,P0028,Rucksack Campus,Accessoires,2,51.98,103.96
ORD000151,P0025,Lederriemen Cognac,Accessoires,1,55.96,55.96
ORD000152,P0010,Chino Slim Pierre,Herrenmode,2,198.12,396.24
ORD000152,P0003,High-Waist Jeans Luna,Damenmode,1,106.92,106.92
ORD000153,P0025,Lederriemen Cognac,Accessoires,1,58.64,58.64
ORD000153,P0016,T-Shirt Basic Pack,Herrenmode,1,27.53,27.53
ORD000154,P0014,Cargo-Shorts Marc,Herrenmode,1,185.24,185.24
ORD000154,P0003,High-Waist Jeans Luna,Damenmode,3,114.69,344.07
ORD000155,P0010,Chino Slim Pierre,Herrenmode,1,163.53,163.53
ORD000156,P0024,Ballerina Soft,Schuhe,1,245.36,245.36
ORD000157,P0030,Mütze Alpaka,Accessoires,2,82.64,165.28
ORD000157,P0013,Leinenhemd Matteo,Herrenmode,1,203.97,203.97
ORD000158,P0003,High-Waist Jeans Luna,Damenmode,2,108.18,216.36
ORD000158,P0036,Tablett Bambus,Home & Living,1,277.64,277.64
ORD000159,P0033,Kerzenset Nordic,Home & Living,1,320.15,320.15
ORD000160,P0011,Kapuzenpulli Anton,Herrenmode,1,139.3,139.3
ORD000160,P0022,Loafer Classic,Schuhe,1,141.91,141.91
ORD000161,P0005,Businesshose Selene,Damenmode,1,41.52,41.52
ORD000161,P0033,Kerzenset Nordic,Home & Living,1,226.46,226.46
ORD000162,P0018,Chelsea Boot Bruno,Schuhe,1,122.5,122.5
ORD000163,P0027,Sonnenbrille Aviator,Accessoires,1,62.6,62.6
ORD000164,P0016,T-Shirt Basic Pack,Herrenmode,1,27.8,27.8
ORD000164,P0028,Rucksack Campus,Accessoires,2,43.13,86.26
ORD000164,P0024,Ballerina Soft,Schuhe,1,235.14,235.14
ORD000165,P0014,Cargo-Shorts Marc,Herrenmode,1,195.55,195.55
ORD000165,P0012,Poloshirt Leon,Herrenmode,1,181.43,181.43
ORD000166,P0002,Maxi-Kleid Florencia,Damenmode,1,103.16,103.16
ORD000167,P0012,Poloshirt Leon,Herrenmode,1,200.03,200.03
ORD000167,P0031,Kissen Lino 50x50,Home & Living,1,33.12,33.12
ORD000168,P0031,Kissen Lino 50x50,Home & Living,1,37.46,37.46
ORD000169,P0011,Kapuzenpulli Anton,Herrenmode,3,135.31,405.93
ORD000170,P0016,T-Shirt Basic Pack,Herrenmode,1,24.73,24.73
ORD000171,P0025,Lederriemen Cognac,Accessoires,1,43.82,43.82
ORD000172,P0016,T-Shirt Basic Pack,Herrenmode,2,27.32,54.64
ORD000172,P0003,High-Waist Jeans Luna,Damenmode,2,122.07,244.14
ORD000172,P0023,Boots Heritage,Schuhe,1,177.93,177.93
ORD000173,P0021,Laufschuh Sprint X,Schuhe,1,79.95,79.95
ORD000173,P0014,Cargo-Shorts Marc,Herrenmode,1,145.48,145.48
ORD000173,P0024,Ballerina Soft,Schuhe,2,242.48,484.96
ORD000173,P0001,Slim-Fit Bluse,Damenmode,3,76.44,229.32
ORD000174,P0021,Laufschuh Sprint X,Schuhe,1,73.19,73.19
ORD000174,P0014,Cargo-Shorts Marc,Herrenmode,1,137.45,137.45
ORD000175,P0010,Chino Slim Pierre,Herrenmode,3,175.64,526.92
ORD000175,P0033,Kerzenset Nordic,Home & Living,1,258.59,258.59
ORD000176,P0041,Widerstandsband Set,Sport,1,190.77,190.77
ORD000176,P0014,Cargo-Shorts Marc,Herrenmode,1,204.33,204.33
ORD000176,P0011,Kapuzenpulli Anton,Herrenmode,1,130.64,130.64
ORD000177,P0010,Chino Slim Pierre,Herrenmode,3,191.85,575.55
ORD000178,P0035,Bilderrahmen Set 3er,Home & Living,2,146.65,293.3
ORD000179,P0003,High-Waist Jeans Luna,Damenmode,1,109.59,109.59
ORD000180,P0016,T-Shirt Basic Pack,Herrenmode,1,31.52,31.52
ORD000181,P0002,Maxi-Kleid Florencia,Damenmode,1,98.5,98.5
ORD000182,P0015,Strickjacke Finn,Herrenmode,1,29.07,29.07
ORD000182,P0005,Businesshose Selene,Damenmode,1,44.34,44.34
ORD000182,P0014,Cargo-Shorts Marc,Herrenmode,1,185.66,185.66
ORD000183,P0034,Vase Keramik Rund,Home & Living,2,111.03,222.06
